description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Mensafood Tortellini filled with ricotta and spinach in basil cheese sauce; spring onions; diced tomatoes; grated Emmental,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_essen-2.jpg
Mensafood Pasta with tomatoes on top ,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_essen-3.jpg
"Mensafood Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_wochenangebot.jpg
Mensafood Zucchini kofta; herb yoghurt dip; Greek farmer’s salad; flatbread,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_essen-1.jpg
"Mensafood Pasta salad with olives, sun‑dried tomatoes and basil, served with wiener sausages or organic tofu mini‑sausages",no,no,Quick plate,Vegan on request,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_schneller-teller.jpg
Mensafood Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_wochenangebot.jpg
Mensafood Mini spring rolls; sweet‑and‑sour sauce; basmati rice,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-09/mensa-littenweiler_essen-1.jpg
"Mensafood Hamburger TS with beef, cheese, tomato, lettuce; French fries",no,no,Meal 2,Non-vegetarian,Mensa Littenweiler,images/2025-07-09/mensa-littenweiler_essen-2.jpg
Mensafood Kaiserschmarrn (shredded pancake) with apple sauce,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-1.jpg
Mensafood Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-2.jpg
Mensafood Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_essen-1.jpg
Mensafood Soy gyros; tzatziki; vegetable rice; carrot coleslaw,no,no,Daily dish,Vegan on request,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_tagesgericht.jpg
Mensafood Spicy vegetable coconut soup with organic tofu; baguette,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_schneller-teller.jpg
Mensafood Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_essen-1.jpg
Mensafood Superfood salad with organic smoked tofu,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_schneller-teller.jpg
Mensafood Falafel with mango chutney; fried vegetable rice nasi goreng,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-07-04/mensa-flugplatz_essen-1.jpg
Mensafood Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-07-04/mensa-rempartstrae_essen-1.jpg
Mensafood Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,no,no,Weekly special,Non-vegetarian,Mensa Rempartstrae,images/2025-07-04/mensa-rempartstrae_wochenangebot.jpg
Mensafood Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_essen-1.jpg
Mensafood Miso soup (vegetarian and with meat options); baguette,no,no,Meal 3,Vegan on request,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_essen-3.jpg
Mensafood Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,no,no,Meal 2,Vegetarian,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_essen-2.jpg
Mensafood Mango‑wheat tabbouleh with herbs; harissa dip; baguette,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_schneller-teller.jpg
"Mensafood Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_essen-1.jpg
