description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Tortellini filled with ricotta and spinach in basil cheese sauce; spring onions; diced tomatoes; grated Emmental,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_essen-2.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_essen-3.jpg
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-07-09/mensa-flugplatz_wochenangebot.jpg
Zucchini kofta; herb yoghurt dip; Greek farmer’s salad; flatbread,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_essen-1.jpg
"Pasta salad with olives, sun‑dried tomatoes and basil, served with wiener sausages or organic tofu mini‑sausages",no,no,Quick plate,Vegan on request,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_schneller-teller.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-07-09/mensa-rempartstrae_wochenangebot.jpg
Tortellini filled with ricotta and spinach in basil cheese sauce; spring onions; diced tomatoes; grated Emmental,no,no,Meal 2,Vegetarian,Mensa Institutsviertel,images/2025-07-09/mensa-institutsviertel_essen-2.jpg
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",no,no,Weekly special,Vegan on request,Mensa Institutsviertel,images/2025-07-09/mensa-institutsviertel_wochenangebot.jpg
Mini spring rolls; sweet‑and‑sour sauce; basmati rice,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-09/mensa-littenweiler_essen-1.jpg
"Hamburger TS with beef, cheese, tomato, lettuce; French fries",no,no,Meal 2,Non-vegetarian,Mensa Littenweiler,images/2025-07-09/mensa-littenweiler_essen-2.jpg
Kaiserschmarrn (shredded pancake) with apple sauce,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-1.jpg
Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-2.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_essen-3.jpg
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-07-08/mensa-flugplatz_wochenangebot.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_essen-1.jpg
Soy gyros; tzatziki; vegetable rice; carrot coleslaw,no,no,Daily dish,Vegan on request,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_tagesgericht.jpg
Curry sausage or Planted™ curry sausage; French fries,no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-07-08/mensa-rempartstrae_wochenangebot.jpg
Kaiserschmarrn (shredded pancake) with apple sauce,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_essen-1.jpg
Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,no,no,Meal 2,Non-vegetarian,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_essen-2.jpg
Pasta creations from our in‑house pasta workshop with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_essen-3.jpg
Spicy vegetable coconut soup with organic tofu; baguette,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-08/mensa-institutsviertel_schneller-teller.jpg
